"US"	3378019	"2"	1965826
"US"	3378019	"1"	1114963
"US"	3378019	"0"	51170
"UNITED STATES"	1752965	"2"	1029939
"UNITED STATES"	1752965	"1"	574921
"UNITED STATES"	1752965	"0"	6085
"COUNTRY NOT SPECIFIED"	398614	"2"	223067
"COUNTRY NOT SPECIFIED"	398614	"1"	139494
"COUNTRY NOT SPECIFIED"	398614	"0"	4259
"GB"	185309	"2"	87267
"GB"	185309	"1"	72273
"GB"	185309	"0"	3510
"JP"	141677	"1"	63871
"JP"	141677	"2"	58284
"JP"	141677	"0"	3248
"UNITED KINGDOM"	107061	"2"	52076
"UNITED KINGDOM"	107061	"1"	43636
"UNITED KINGDOM"	107061	"0"	360
"FR"	106372	"2"	51567
"FR"	106372	"1"	45503
"FR"	106372	"0"	1962
"CA"	103999	"2"	59057
"CA"	103999	"1"	36673
"CA"	103999	"0"	1416
"JAPAN"	103120	"1"	48384
"JAPAN"	103120	"2"	45638
"JAPAN"	103120	"0"	212
"DE"	90819	"2"	44208
"DE"	90819	"1"	36554
"DE"	90819	"0"	2129
